Gene	Category	DMSO	Size	rho	p	FDR	depleted	enriched
KAT2B	Other	0.40585067236919	10	7.67501535268742e-05	0.00130625763828619	0.007686294945284	NA	31
SKP2	Other	-1.33804763100557	10	8.07298517524542e-05	0.00134168157423971	0.00785340314136126	160	NA
SPEN	Other	-0.528695026708855	10	8.20971015314724e-05	0.00135939354221648	0.00789540492510789	161	NA
DR1	Other	0.349304780014285	10	8.5387235357508e-05	0.00137710551019324	0.00789540492510789	NA	32
VPS72	Other	-0.379882153435538	10	8.56068886713989e-05	0.00137710551019324	0.00789540492510789	162	NA
ELL	Other	-0.746856488324533	10	8.69819825160026e-05	0.00137710551019324	0.00789540492510789	163	NA
PAF1	Other	-0.876425952162326	10	9.04536523465247e-05	0.00141252944614676	0.00805718326934734	164	NA
RPL7A	Essential	-1.31825467566939	10	9.41042009749013e-05	0.00146566535007705	0.00831783685982812	165	NA
HACE1	Other	0.509546293330026	10	9.66892553766399e-05	0.00150108928603057	0.00847584758475848	NA	33
EPC1	Other	0.336949254182505	10	9.79662048361157e-05	0.00150994527001895	0.00848300910493059	NA	34
BRD7	Other	0.434229050268453	10	0.000107142514231042	0.0016250730618679	0.00908415841584158	NA	35
SETD6	Other	-0.66648261804062	10	0.000114184705942203	0.00180219274163552	0.00997379149679674	166	NA
MYB	Other	0.48770761205229	10	0.000114405431409252	0.0018110487256239	0.00997379149679674	NA	36
USP3	Other	-0.525894230706928	10	0.000115870974428318	0.00181990470961228	0.00997379149679674	167	NA
EHMT1	Other	0.395148025565793	10	0.000115989321967618	0.00181990470961228	0.00997379149679674	NA	37
KMT2A	Other	0.404483028489662	10	0.000120954438068021	0.00191732053348448	0.010456411494808	NA	38
HNRNPU	Essential	-0.663304414322199	10	0.000134968216196512	0.00211215218122886	0.0114630395078343	168	NA
PTEN	Other	0.510385304817488	10	0.00014097791747794	0.00219185603712428	0.0118381403357727	NA	39
CHD7	Other	-0.624256437062328	10	0.00015576924243593	0.00242211162082219	0.0130188499619193	169	NA
RBM10	Other	-0.529369773206219	10	0.000160322024332298	0.00250181547671762	0.0133829172390923	170	NA
ELP2	Other	0.277902964815477	10	0.000172429586073503	0.0027409270444039	0.0145921735030646	NA	40
KDM5D	Other	0.368753861915488	10	0.00017442522351966	0.00276749499636905	0.0146637886537469	NA	41
USP37	Other	-0.719356704005297	10	0.000175632302424502	0.00280291893232257	0.014781430973286	171	NA
TP73	Other	0.474361856169843	10	0.000182418929201744	0.00294461467613667	0.0154557709292056	NA	42
SMARCA5	Other	-0.344438082621268	10	0.000197751222976954	0.00318372624382295	0.0166327380401592	172	NA
GATAD2A	Other	-0.557985282214435	10	0.000212317110248805	0.00336970190757895	0.0175224499194105	173	NA
BAZ1B	Other	-0.481305858436705	10	0.000216724599641567	0.00346711773145114	0.0179455445544554	174	NA
FBXO22	Other	-0.530937374273641	10	0.000234267716023026	0.00371508528312581	0.019140393302003	175	NA
TAF10	Other	-0.520354973968387	10	0.000239714757835507	0.00382135709098638	0.0195976019620311	176	NA
HIST1H3B	Other	-0.640319882325372	10	0.000247861547660407	0.00393648488283533	0.020049504950495	177	NA
NAT10	Other	-0.611823709675316	10	0.000248356826725951	0.00394534086682371	0.020049504950495	178	NA
NF1	Other	0.327822954192143	10	0.000255574046095002	0.00406932464266105	0.0205859952511088	NA	43
YAF2	Other	0.28053482393122	10	0.000258135822613895	0.00411360456260295	0.0207162608152707	NA	44
TUBGCP3	Other	-0.978112037055897	10	0.000260218659265659	0.00414902849855647	0.0208009590196688	179	NA
ITCH	Other	0.362537894191312	10	0.00027113468914317	0.00437928408225438	0.0218573196605375	NA	45
MYBL2	Other	-0.643719292254111	10	0.000279434850322185	0.00447669990612657	0.0222334180320687	180	NA
CDK12	Other	-0.547173561983011	10	0.00027988703800329	0.00449441187410333	0.0222334180320687	181	NA
USP25	Other	0.384507281848074	10	0.000284018973504342	0.00454754777803362	0.0223971736380687	NA	46
YWHAB	Other	0.343598634595208	10	0.000294176731419163	0.00463610761791743	0.0227331943720688	NA	47
RPLP2	Essential	-0.82678623749081	10	0.000314845678021899	0.00498149099346428	0.0243201176012798	182	NA
USP39	Essential	-1.02843517948029	10	0.000328897065753789	0.00520289059317381	0.0252905725355144	183	NA
TAF8	Other	-0.681108430930625	10	0.000336316935874136	0.00530916240103438	0.0256954266855257	184	NA
ZCWPW2	Other	0.454169246590159	10	0.000350400079220738	0.00550399404877876	0.0265235575281666	NA	48
TAF2	Other	-0.473150691022395	10	0.000359292056560724	0.00563683380860447	0.0270471253133897	185	NA
SETD1A	Other	-0.451955723106198	10	0.000365585863826168	0.00575196160045343	0.0274815943132775	186	NA
LUC7L3	Other	-0.739247726035011	10	0.000379361986739743	0.00595564923218619	0.028333684432273	187	NA
SMN2	Other	-0.592675390790221	10	0.000417338762569297	0.00656671212738447	0.0310189246772779	188	NA
PSMD6	Other	-0.861450868278997	10	0.000419339537365532	0.00657556811137285	0.0310189246772779	189	NA
KDM5C	Other	0.445147837841318	10	0.000430222792800586	0.00676154377512885	0.0317622098344288	NA	49
CDK13	Other	0.429127005249578	10	0.000434628090227379	0.0068323916470359	0.0319607274534985	NA	50
MSL2	Other	-0.238905675490504	10	0.000441943517715839	0.00697408739085	0.0323528203442751	190	NA
TAF12	Other	-0.634734972363083	10	0.000442440150887907	0.00697408739085	0.0323528203442751	191	NA
BPTF	Other	-0.433389282363285	10	0.000445087052379702	0.00705379124674543	0.0325873496440553	192	NA
SUPT6H	Essential	-0.803616946723758	10	0.000473601268475607	0.00740803060628066	0.034083037933423	193	NA
DDX51	Essential	-0.332969432741252	10	0.000477647470413211	0.00745231052622257	0.0341462424931018	194	NA
BRMS1	Other	-0.474357501888989	10	0.000492986812816206	0.00762943020599019	0.0348151141644777	195	NA
MYBL1	Other	0.364979582596445	10	0.000515890382725726	0.00784197382171133	0.0356395395637125	NA	51
UBE2H	Other	-0.335785760402403	10	0.000567647981004684	0.00866558033263076	0.0392231530845392	196	NA
RPTOR	Other	-0.490916553601589	10	0.000595756869181991	0.00909066756407304	0.0409813158735228	197	NA
PRMT9	Other	0.302350058377663	10	0.000601909544453021	0.00916151543598009	0.0411348363752038	NA	52
HELLS	Other	0.412478564903059	10	0.00064316905945412	0.00979029029915514	0.0436704384724187	NA	53
EAF1	Other	0.36552971685039	10	0.000644426857714355	0.0098080022671319	0.0436704384724187	NA	54
ARID4B	Other	-0.473221747337915	10	0.000646796328827494	0.00984342620308542	0.0436704384724187	198	NA
BUB1	Other	-0.288475750555398	10	0.000649479552904503	0.00990541809100409	0.043771768481196	199	NA
KDM5A	Other	-0.325317053344638	10	0.000666140487096243	0.0101533856426788	0.0446908864114758	200	NA
SETDB1	Other	-0.372989052992904	10	0.000677892419419948	0.010321649338458	0.0452533488642982	201	NA
CCDC101	Other	-0.184848941545519	10	0.00068415376625223	0.0104367771303069	0.0455793626237624	202	NA
CHD2	Other	-0.538641878664053	10	0.000726374258638219	0.0110124160895517	0.0479061524829526	203	NA
PBRM1	Other	0.412293348413824	10	0.000744455037438376	0.0112161037212845	0.048603116125566	NA	55
YEATS4	Other	-0.409493098555416	10	0.00075951403835884	0.0114463593049824	0.0492193450114242	204	NA
SP140L	Other	0.351558070400762	10	0.000760908270545216	0.0114463593049824	0.0492193450114242	NA	56
DNMT3A	Other	-0.363109127767206	10	0.000768018459583975	0.0116057670167732	0.0497135920488601	205	NA
KDM4A	Other	0.339836538948722	10	0.000772689709429246	0.0116589029207035	0.0497505857455975	NA	57
NAA30	Other	-0.426918509625018	10	0.000780095339101689	0.0117563187445757	0.0499755298723789	206	NA
TSC2	Other	-0.332135325785975	10	0.000796111316001123	0.0120131422802388	0.0508738373837384	207	NA
BRD2	Other	-0.385873689510344	10	0.0008134207480858	0.0122611098319134	0.0517280029889782	208	NA
SF3B5	Essential	-0.885404926002874	10	0.00084208497232274	0.0125976372234719	0.0529479639693293	209	NA
SRSF3	Essential	-0.955974221448781	10	0.000854400637890007	0.0127127650153209	0.0531439337963647	210	NA
CREBBP	Other	0.318889573696708	10	0.000855946644261364	0.012739332967286	0.0531439337963647	NA	58
INO80D	Other	-0.166695620900955	10	0.000865195026162529	0.0129075966630652	0.0535570223689036	211	NA
MLLT10	Other	0.345910021471718	10	0.000867366723195761	0.0129341646150304	0.0535570223689036	NA	59
SUV39H1	Other	0.294625706588584	10	0.00088548174806095	0.0132264120866469	0.0545650506010011	NA	60
SIN3B	Other	-0.479453891877184	10	0.000912193375614917	0.0135452275102287	0.055674868957484	212	NA
PPM1G	Other	-0.569402380113572	10	0.000936543500362657	0.0138728989177988	0.0568128241395568	213	NA
L3MBTL4	Other	0.299723437429152	10	0.000963032762729755	0.0142182822933456	0.0580147430801474	NA	61
ACTL6A	Other	-0.361432479756777	10	0.0010464459759023	0.0150684567562302	0.0612601260126013	214	NA
ASH2L	Other	-0.45147138975079	10	0.00105207400826969	0.0151393046281372	0.0613251542545559	215	NA
PSIP1	Other	0.343574753895967	10	0.00107561507676356	0.015413840131777	0.062211816849555	NA	62
H3F3A	Other	-0.830536777014648	10	0.0010969237639277	0.015714943587382	0.06319894579386	216	NA
SPIN2B	Other	0.350707261044219	10	0.00111357761021376	0.0159894790910218	0.0640725362858866	NA	63
TADA1	Other	0.334503814359479	10	0.00116952999560004	0.0167245257620574	0.0665762305767943	NA	64
KAT7	Other	0.431805964622628	10	0.00117174293033775	0.0167333817460458	0.0665762305767943	NA	65
USP33	Other	0.233863969892695	10	0.00124122835727085	0.0176101241608955	0.069816024155607	NA	66
USP12	Other	0.350926926450578	10	0.00128192607806577	0.0181857631201403	0.0716252963324501	NA	67
DAXX	Other	-0.309096058307882	10	0.00128422072081584	0.0181946191041287	0.0716252963324501	217	NA
ACTR8	Other	-0.297245791722944	10	0.00134993913657299	0.0190270815990365	0.0743785917053244	218	NA
RB1	Other	0.355147693735302	10	0.001349939136573	0.0190270815990365	0.0743785917053244	NA	68
SIAH2	Other	-0.277042390269801	10	0.0013911415811887	0.0194875927664323	0.0759133404629661	219	NA
KMT2E	Other	-0.348247751454826	10	0.00144561930076381	0.0202049274694911	0.0784344059405941	220	NA
KANSL1	Other	-0.496169302561632	10	0.00157084121736573	0.0215864609716786	0.0835074856966666	221	NA
METTL14	Other	-0.312501094976425	10	0.00158502448980848	0.0217458686834694	0.0838340730624787	222	NA
RNF8	Other	-0.592044376474998	10	0.00161754499098554	0.0220735400910395	0.0848048722398013	223	NA
KDM2A	Other	-0.447008754844783	10	0.00177618194852242	0.0240749924724136	0.0921775396717754	224	NA
SENP3	Other	0.359140095959926	10	0.00186171965685231	0.0250225827591704	0.0954786604940357	NA	69
METTL4	Other	0.318541520060699	10	0.00192358749557207	0.0257487734462176	0.0979154037852765	NA	70
MAP2K2	Other	0.331864997453288	10	0.0019452730385399	0.0260764448537877	0.0984931826515985	NA	71
PHF12	Other	-0.431677506860768	10	0.00195527485708584	0.0261650046936715	0.0984931826515985	225	NA
USP53	Other	0.359828961772009	10	0.00195537182516174	0.0261650046936715	0.0984931826515985	NA	72
LIN9	Other	-0.369952915285671	10	0.00196884373515714	0.0262889884695088	0.0985959799993377	226	NA
SUPT20H	Other	0.31296477151089	10	0.00198230559729873	0.0263686923254043	0.0985959799993377	NA	73
RBL2	Other	0.332108532850544	10	0.00200541682849335	0.0266609397970208	0.0993564356435643	NA	74
CBX1	Other	0.346590230281075	10	0.00202238876719431	0.0268380594767885	0.0996842209137857	NA	75
LSM4	Essential	-0.656452396312847	10	0.00207745189574958	0.0275553941798473	0.102009704281686	227	NA
METTL15	Other	0.283130325034043	10	0.00208936284736141	0.0277945057475336	0.102217952058364	NA	76
PHF13	Other	0.427078003252636	10	0.00208982073033692	0.0277945057475336	0.102217952058364	NA	77
GADD45A	Other	0.317394018587374	10	0.00209670246712013	0.0279096335393826	0.102304820645999	NA	78
CTNNB1	Other	0.266913602792095	10	0.00213721364211993	0.0284498485626738	0.103944217951207	NA	79
TADA3	Other	-0.294412319561295	10	0.00215347386975931	0.0287420960342904	0.104426514079979	228	NA
CCT8	Essential	-0.396512696397746	10	0.00215654464137188	0.0287686639862555	0.104426514079979	229	NA
HDAC9	Other	0.328353208846955	10	0.00218795546745525	0.0290609114578721	0.105145951488353	NA	80
RPA2	Essential	-0.724794358579084	10	0.00228217114729121	0.0300616376485591	0.108415841584158	230	NA
NCOA2	Other	0.274609207073741	10	0.00237451648309904	0.0310889317912113	0.111760211390914	NA	81
PRMT5	Other	-0.26694505208118	10	0.00246850812259876	0.0321959297897589	0.115368748413303	231	NA
MAP2K4	Other	0.272426499092963	10	0.0024998103619049	0.0325944490692361	0.11642362319299	NA	82
AKAP1	Other	-0.348411319770412	10	0.0025824536644598	0.033568607307958	0.119521347039163	232	NA
TAF6	Other	-0.673438551491564	10	0.00267779934642175	0.0345870454666218	0.122756561370423	233	NA
ANAPC11	Other	-0.631586818969336	10	0.00279734778195487	0.0359331550328557	0.126948183777368	234	NA
SF3A2	Essential	-0.6971846583767	10	0.00280042491624938	0.0359951469207744	0.126948183777368	235	NA
EGFR	Other	0.340586906479571	10	0.00281236778473773	0.0361988345525071	0.127265084999066	NA	83
RPS24	Essential	-0.67656644147926	10	0.00284907952068537	0.0365796418640075	0.128200751109594	236	NA
