Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.Plasmid.0.R1.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
SH2B3	Other	0.493594836173516	0.426184243159369	0.443767505987643	0.219211704691706	0.366951784977162	0.382801156135874	0.38279962024763
SHPRH	Other	-0.322282003988519	-0.619652871906272	-0.147804363126807	-0.306656861896558	-0.263555809914972	-0.250925873930988	-0.339205397979268
SIAH1	Other	0.642581379938179	0.329131881053504	0.672268120320491	0.349752736323295	0.584827582032801	0.578261253081502	0.566805699604863
SIAH2	Other	-0.118071662169771	-0.0757381339328204	-0.227306219637385	0.136670385023142	-0.331396784272502	-0.190834562624448	-0.314599976417676
SIN3A	Other	-0.820509437061341	-0.708702865978109	-0.767154512134264	0.202869524054951	-0.467923686478819	-0.584612790134501	-0.647936050641762
SIN3B	Other	-0.456600114399406	-0.502454347109666	-0.410796609085658	0.0228368683456072	-0.735341271875363	-0.687243851782192	-0.400643386962538
SIRT1	Other	0.841713936719222	0.886458717421615	0.605592716851876	0.405195928836628	0.79984311254845	0.781227533070942	0.629848112253243
SIRT2	Other	0.136566418354976	0.0247178365915116	0.0585280949818687	0.0101531402259697	-0.0190493193009243	-0.0988051228979738	0.0166400393215814
SIRT3	Other	0.0552297470699516	0.290597057760676	0.0960067339864854	0.119274441790098	0.107184364062804	0.000395478926329815	0.243118589624723
SIRT4	Other	0.153269655807505	0.0367507999275302	0.235195229684952	0.126115654959838	0.0262367889516626	0.0203379871732074	0.0557137189460226
SIRT5	Other	0.544372184925522	0.288336472161051	0.509952519337861	0.264329807543645	0.411600285818357	0.262439162013598	0.429838611155072
SIRT6	Other	0.041065351177529	0.0110467683119847	0.0791476116302871	0.0297101838091372	-0.239795989577292	0.0567824850819657	-0.0194964913880101
SIRT7	Other	0.292096049253791	0.0373811055623395	0.330775593627517	0.270799460999759	0.300792468490469	0.221496901176999	0.0500217253636592
SKP1	Other	-0.0543071372364172	-0.330999474406476	-0.347657753307795	-0.381069058686891	-0.423260758172037	-0.221473024090907	-0.528023037172515
SKP2	Other	-1.22492932166655	-1.131073783257	-0.92210324031733	0.245345515925278	-1.09892781635828	-1.05538663971421	-0.922920363933225
SLC38A4	Other	-0.133373843729365	-0.209086953891296	-0.150198848784598	-0.408881375060907	-0.100124168416419	-0.348203657174309	-0.256429737918265
SMAD2	Other	0.254964587688958	0.313606129636429	0.475576259175611	0.206143435464018	0.625988231706158	0.258659898098481	0.374374828178189
SMAD3	Other	0.0343079889562953	0.00253540438669663	-0.0128604874223143	0.103677986236023	-0.0994192159057237	-0.123851171492288	-0.0392942519119562
SMAD4	Other	0.093258676633346	-0.138863122599437	-0.00510876901900491	-0.266846511142752	-0.062192831952602	0.220733411016058	0.110168507556897
SMARCA1	Other	-0.467033155038295	-0.281102743935286	-0.54909283131864	-0.503454229507264	-0.343441532447677	-0.374976354168162	-0.571265294689748
