Gene	Category	PRMT5	Size	rho	p	FDR	depleted	enriched
FBXO2	Other	-0.0425895925871765	10	0.178262945731512	0.792003932056891	0.999800740360261	447	NA
SETD7	Other	0.177124316555882	10	0.179186129944122	0.79348288138295	0.999800740360261	NA	433
SFMBT1	Other	0.11112112517843	10	0.179263672901587	0.793606865158788	0.999800740360261	NA	434
SCML4	Other	-0.0123961128072531	10	0.17962570956185	0.794235640021963	0.999800740360261	448	NA
MORF4L1	Other	0.184080760827467	10	0.180670708744874	0.795741157299988	0.999800740360261	NA	435
UBE3B	Other	-0.0302396316609753	10	0.181027534758247	0.796307940275244	0.999800740360261	449	NA
CDK5	Other	0.114406861695687	10	0.181039774420618	0.796334508227209	0.999800740360261	NA	436
NCOA3	Other	0.0352382444327454	10	0.18167739045945	0.797290954497954	0.999800740360261	NA	437
TRIM23	Other	0.0838920904821238	10	0.184717440936098	0.802011193963761	0.999800740360261	NA	438
EYA3	Other	0.140480357258942	10	0.185444069703668	0.80333073557803	0.999800740360261	NA	439
ELP6	Other	0.120630572740415	10	0.187392470543293	0.805836979046742	0.999800740360261	NA	440
TDRKH	Other	-0.00387499002798596	10	0.187918874354704	0.806527745797836	0.999800740360261	450	NA
SMEK1	Other	0.0335173725116108	10	0.189025125443413	0.80825466267557	0.999800740360261	NA	441
GSE1	Other	-0.202464248525067	10	0.191303462385317	0.811504808799306	0.999800740360261	451	NA
CHD9	Other	-0.0136028360227838	10	0.193238204058774	0.814197027931774	0.999800740360261	452	NA
PRMT2	Other	0.111742954932773	10	0.193456178238125	0.81454241130732	0.999800740360261	NA	442
CDKN2A	Other	0.146723027280064	10	0.193762930727306	0.814967498538763	0.999800740360261	NA	443
MBD3	Other	-0.207342321553964	10	0.193821235382658	0.815064914362635	0.999800740360261	453	NA
TRMT44	Other	0.136753195282769	10	0.195952685738298	0.818022813014754	0.999800740360261	NA	444
ALKBH4	Other	-0.0316682189478661	10	0.196100155325188	0.818146796790591	0.999800740360261	454	NA
ALDH1B1	Other	0.0607477674727672	10	0.196625247233781	0.818979259285499	0.999800740360261	NA	445
BAZ2A	Other	-0.06545219608656	10	0.196701798977897	0.81908553109336	0.999800740360261	455	NA
SMYD4	Other	0.106204962441714	10	0.197908111500149	0.820759312067164	0.999800740360261	NA	446
APOBEC3C	Other	0.170779362321194	10	0.199450500883131	0.822955596096282	0.999800740360261	NA	447
JADE3	Other	0.0728978921645077	10	0.201246214221539	0.825169592093377	0.999800740360261	NA	448
NTRK3	Other	0.00541032316567583	10	0.203544306808744	0.828198338617404	0.999800740360261	NA	449
MAP3K1	Other	0.181247635184424	10	0.203851326773865	0.828729697656707	0.999800740360261	NA	450
CECR2	Other	-0.0646401544963299	10	0.204847636167361	0.830217502966755	0.999800740360261	456	NA
TESK2	Other	0.114882310308812	10	0.205988094074557	0.831793868116686	0.999800740360261	NA	451
FMR1	Other	0.131585037836629	10	0.206061164693431	0.831917851892524	0.999800740360261	NA	452
SPIN1	Other	0.0698816590288652	10	0.208285942722687	0.834787190704759	0.999800740360261	NA	453
MORF4L2	Other	0.0212286385190644	10	0.208634277450063	0.835229989904178	0.999800740360261	NA	454
ELP4	Other	0.152576152789751	10	0.208634277450063	0.835229989904178	0.999800740360261	NA	455
RSF1	Other	-0.131775530736253	10	0.210147020842551	0.837240298269541	0.999800740360261	457	NA
DPF3	Other	-0.0205927911811417	10	0.212318181005854	0.840331036681486	0.999800740360261	458	NA
AKT3	Other	-0.0713024174041792	10	0.213953768601747	0.842642448502453	0.999800740360261	459	NA
POLE3	Other	0.0567901455745883	10	0.214426543593547	0.843297791317593	0.999800740360261	NA	456
BRAF	Other	0.0353800724776538	10	0.215847522310039	0.845006996227351	0.999800740360261	NA	457
BRWD1	Other	0.187024634132465	10	0.216568150834768	0.845972298482084	0.999800740360261	NA	458
SFMBT2	Other	0.0400569619258803	10	0.218554702817066	0.848753077454436	0.999800740360261	NA	459
ALKBH3	Other	0.14642507344342	10	0.218984077803101	0.849337572397669	0.999800740360261	NA	460
CHD5	Other	-0.217340589676387	10	0.219952015796586	0.850657114011938	0.999800740360261	460	NA
CYLD	Other	-0.00119481024682846	10	0.2204249255329	0.851170761083264	0.999800740360261	461	NA
APC	Other	0.138932666252618	10	0.221448132643576	0.8522866150658	0.999800740360261	NA	461
ZMYND8	Other	0.129820688972542	10	0.22270834881193	0.853898404151685	0.999800740360261	NA	462
H2AFY2	Other	0.108304226018483	10	0.223137403226801	0.854429763190988	0.999800740360261	NA	463
PRDM15	Other	-0.031160557455288	10	0.224187271582458	0.855855576613118	0.999800740360261	462	NA
ALKBH7	Other	-0.0467148085885096	10	0.225649586719229	0.85764448537877	0.999800740360261	463	NA
MINA	Other	0.0852726059340393	10	0.226261334702923	0.858361820081829	0.999800740360261	NA	464
ANP32E	Other	-0.0766466829147896	10	0.226585770398776	0.858689491489399	0.999800740360261	464	NA
JMJD8	Other	0.0100502445110208	10	0.228863497103431	0.861355142669902	0.999800740360261	NA	465
TP53RK	Other	0.0704929074841747	10	0.229189838468647	0.861780229901344	0.999800740360261	NA	466
TERT	Other	-0.121427945649455	10	0.230753775031778	0.863613418586939	0.999800740360261	465	NA
BRDT	Nonessential	0.0630627725881974	10	0.232212111843658	0.865420039320569	0.999800740360261	NA	467
MTA1	Other	0.0336185346632435	10	0.232301900532799	0.865517455144441	0.999800740360261	NA	468
ALPK3	Other	0.00303361051485827	10	0.233194398649199	0.866580173223047	0.999800740360261	NA	469
TRAF6	Other	0.0291398544124292	10	0.235421615444199	0.869095272675747	0.999800740360261	NA	470
TET3	Other	-0.0750412401171519	10	0.236706674826927	0.870476806177934	0.999800740360261	466	NA
MECP2	Other	0.0342791634273265	10	0.238589723736484	0.872619954303123	0.999800740360261	NA	471
ING1	Other	-0.0608448486552482	10	0.23908972082533	0.873133601374449	0.999800740360261	467	NA
SMEK2	Other	-0.0448176773462182	10	0.239345493915257	0.873390424910112	0.999800740360261	468	NA
AXIN2	Other	-0.147749490496965	10	0.239910823148663	0.873966063869356	0.999800740360261	469	NA
ACTR6	Other	0.118484719676653	10	0.239956582451678	0.874036911741264	0.999800740360261	NA	472
CBX6	Other	0.021125255301255	10	0.241932886369287	0.87651658725801	0.999800740360261	NA	473
BCOR	Other	-0.168399223416833	10	0.243921080162088	0.878792575143024	0.999800740360261	470	NA
TBX3	Other	0.0791817361679453	10	0.244118318783902	0.87897855080678	0.999800740360261	NA	474
MBD6	Other	0.0291201916315933	10	0.244961452768162	0.879731309445792	0.999800740360261	NA	475
FBXO7	Other	0.041234251451196	10	0.247329828222333	0.882379248658318	0.999800740360261	NA	476
CHFR	Other	0.0162935140270965	10	0.248518200624537	0.883610230432703	0.999800740360261	NA	477
INTS12	Other	-0.0154415714767568	10	0.251074058305454	0.886337873501125	0.999800740360261	471	NA
STK4	Other	-0.0485013469467029	10	0.251757764409961	0.887152624028056	0.999800740360261	472	NA
SETD1B	Other	-0.0886505431009765	10	0.254570461432188	0.889871411112489	0.999800740360261	473	NA
SRCAP	Essential	0.0523426690663953	10	0.256051246005468	0.89134150445456	0.999800740360261	NA	478
ASF1A	Other	0.0881400889381505	10	0.256961853716863	0.892138543013514	0.999800740360261	NA	479
PARP3	Other	0.01016094752393	10	0.257259663964208	0.892404222533166	0.999800740360261	NA	480
APOBEC3D	Other	0.0507102774696706	10	0.257432516924651	0.892537062292991	0.999800740360261	NA	481
L3MBTL1	Other	0.0374309189744928	10	0.258124482273034	0.893192405108132	0.999800740360261	NA	482
EZH1	Other	0.000358346860108806	10	0.259123240876079	0.894193131298819	0.999800740360261	NA	483
ATAD2B	Other	0.0959426189764433	10	0.259306041679483	0.894370250978586	0.999800740360261	NA	484
SMYD2	Other	0.115230121853727	10	0.260553314027584	0.895822632352681	0.999800740360261	NA	485
DYRK1B	Other	-0.018318355135658	10	0.260901170073696	0.896132591792274	0.999800740360261	474	NA
METTL12	Other	0.123151676173298	10	0.261075180376374	0.896291999504065	0.999800740360261	NA	486
GLYR1	Other	0.0334299660915351	10	0.261249245496187	0.896433695247879	0.999800740360261	NA	487
SOCS1	Other	-0.105348567594686	10	0.262469233943051	0.897531837262438	0.999800740360261	475	NA
MAP2K2	Other	0.162309657134091	10	0.264567241123668	0.899559857595778	0.999800740360261	NA	488
USP2	Other	-0.115434149470237	10	0.265111439191294	0.900224056394906	0.999800740360261	476	NA
EID1	Other	0.0261245069246117	10	0.265183283905401	0.900339184186755	0.999800740360261	NA	489
ASF1B	Other	-0.0330740148232728	10	0.265267810302359	0.900410032058662	0.999800740360261	477	NA
DPF2	Other	0.0438034688699959	10	0.26737584770733	0.902588604119804	0.999800740360261	NA	490
FBXL7	Other	0.0934981818434657	10	0.267412978765734	0.902606316087781	0.999800740360261	NA	491
DNMT3L	Other	-0.0381683711367004	10	0.268080251664336	0.903252802918932	0.999800740360261	478	NA
PRKAG1	Other	-0.0233785422513372	10	0.268256487007927	0.903474202518642	0.999800740360261	479	NA
TDRD6	Other	0.0992007029711367	10	0.268327082698215	0.903571618342514	0.999800740360261	NA	492
SIRT2	Other	-0.0438912745184084	10	0.268432776036882	0.903669034166386	0.999800740360261	480	NA
BRD3	Other	0.0935842789806992	10	0.26931502547272	0.904598912485166	0.999800740360261	NA	493
PJA2	Other	0.111964085089048	10	0.269440173041864	0.904722896261004	0.999800740360261	NA	494
ZFP57	Other	0.0659730080815973	10	0.270552421533825	0.905874174179493	0.999800740360261	NA	495
METTL2A	Other	-0.0196403212070307	10	0.27055508308462	0.905874174179493	0.999800740360261	481	NA
PCGF2	Other	0.148939671378012	10	0.272230841163156	0.907627659009193	0.999800740360261	NA	496
SOX17	Other	0.00920172385479796	10	0.27356838313298	0.908911776687508	0.999800740360261	NA	497
AFF1	Other	0.0719294823162903	10	0.274279000773672	0.909646823358543	0.999800740360261	NA	498
ZFHX3	Other	0.136940994309806	10	0.274519371009216	0.909894790910218	0.999800740360261	NA	499
PDGFRA	Other	-0.0730008897450509	10	0.275032746826303	0.910275598221718	0.999800740360261	482	NA
BAZ1A	Other	0.119898683057985	10	0.276008024379002	0.911152340636568	0.999800740360261	NA	500
PHC3	Other	0.0850874187083833	10	0.276420883454224	0.91157742786801	0.999800740360261	NA	501
ERG	Other	0.0651325998305084	10	0.276599610998144	0.911781115499743	0.999800740360261	NA	502
CAMKMT	Other	-0.00496327417894466	10	0.27767307406503	0.912914681450256	0.999800740360261	483	NA
METTL13	Other	0.000831409244197701	10	0.278031312584791	0.913357480649675	0.999800740360261	NA	503
ELP5	Other	-0.0698625379789831	10	0.278868938969386	0.914154519208629	0.999800740360261	484	NA
UBE2K	Other	0.0479322923277359	10	0.278868938969387	0.914154519208629	0.999800740360261	NA	504
H2BFWT	Nonessential	-0.00880876687464285	10	0.278974033104554	0.914269647000478	0.999800740360261	485	NA
CHD1	Other	0.100585950428682	10	0.279286786600308	0.914544182504118	0.999800740360261	NA	505
KAT2A	Other	0.166847632610869	10	0.279577399856904	0.914871853911688	0.999800740360261	NA	506
METTL21A	Other	0.0995699186746679	10	0.280337242334938	0.915713172390584	0.999800740360261	NA	507
H2AFZ	Other	0.12808286388855	10	0.281509297168947	0.916793602437167	0.999800740360261	NA	508
ZMYM2	Other	-0.0806496703638599	10	0.281625117492959	0.916935298180981	0.999800740360261	486	NA
MYSM1	Other	-0.0483697569357278	10	0.283791300948394	0.918945606546343	0.999800740360261	487	NA
METTL6	Other	-0.151392561946483	10	0.284170042776518	0.919335269841832	0.999800740360261	488	NA
TRIB3	Other	0.059126561539993	10	0.284515000469655	0.919627517313449	0.999800740360261	NA	509
NSD1	Other	0.0340623646485466	10	0.287150323688832	0.921983209054358	0.999800740360261	NA	510
DNMT3B	Other	0.0957902890524224	10	0.28844337834236	0.923161054924813	0.999800740360261	NA	511
USP7	Other	0.0912612864099887	10	0.288874261832453	0.923541862236313	0.999800740360261	NA	512
E2F6	Other	-0.0100583187310971	10	0.289238845933862	0.923798685771976	0.999800740360261	489	NA
MBIP	Other	0.0811979960013428	10	0.289557576560442	0.924037797339662	0.999800740360261	NA	513
NCOA1	Other	0.0760830402414917	10	0.291064772164486	0.925189075258152	0.999800740360261	NA	514
USP4	Other	0.112254406572012	10	0.292181462791899	0.926110097592944	0.999800740360261	NA	515
GFI1	Other	0.0568995987983741	10	0.292529104725242	0.926437769000514	0.999800740360261	NA	516
GTF2I	Other	-0.128980203685653	10	0.292838532879515	0.926641456632246	0.999800740360261	490	NA
LBR	Other	0.06651637978448	10	0.295099315956107	0.92848350130183	0.999800740360261	NA	517
BRCA2	Other	0.100072933971128	10	0.29601958787957	0.929315963796737	0.999800740360261	NA	518
FXR2	Other	0.0496304067153373	10	0.297035212681322	0.930051010467773	0.999800740360261	NA	519
DIDO1	Other	0.0271696825658125	10	0.298048491328031	0.930901184930658	0.999800740360261	NA	520
EID2B	Other	0.0680936659555483	10	0.30008327859228	0.93258382188845	0.999800740360261	NA	521
CBX4	Other	-0.0311520641919229	10	0.301644333251841	0.933761667758905	0.999800740360261	491	NA
BRD1	Other	-0.0161241711931458	10	0.302495552483473	0.934408154590057	0.999800740360261	492	NA
UBE2T	Other	0.146287534200717	10	0.303797821700032	0.935382312828778	0.999800740360261	NA	522
PHF21B	Other	0.0304446753855734	10	0.304915908870388	0.936214775323686	0.999800740360261	NA	523
SMARCAL1	Other	0.0867656659722312	10	0.30734427328878	0.938039108025293	0.999800740360261	NA	524
CHEK2	Other	0.150902643340598	10	0.310117025497621	0.940270815990365	0.999800740360261	NA	525
LRWD1	Other	0.00674247955433434	10	0.312244704559287	0.941971164916134	0.999800740360261	NA	526
ZNF687	Other	-0.119235451312722	10	0.312416176987496	0.942050868772029	0.999800740360261	493	NA
ASXL3	Other	0.034672243632593	10	0.313396595309277	0.942883331266937	0.999800740360261	NA	527
PRDM9	Nonessential	-0.0906176756853386	10	0.317136254677401	0.945354150799695	0.999800740360261	494	NA
PHF3	Other	0.0722769040338689	10	0.318463876752109	0.946266317150499	0.999800740360261	NA	528
RPS17	Essential	-0.0165196805372948	10	0.319497686814686	0.946850812093732	0.999800740360261	495	NA
H1FOO	Nonessential	-0.0422655760528668	10	0.319983804641608	0.947284755309162	0.999800740360261	496	NA
TADA1	Other	0.168156332026083	10	0.322459763231271	0.949241927770595	0.999800740360261	NA	529
CDK2	Other	0.000181367921526147	10	0.322936989397984	0.949534175242211	0.999800740360261	NA	530
STK38	Other	0.0748611301914371	10	0.324247119218398	0.950534901432898	0.999800740360261	NA	531
SMARCA1	Other	0.0735598357387347	10	0.325134512392523	0.951137108344108	0.999800740360261	NA	532
FGFR1	Other	-0.106737742011858	10	0.331163905719587	0.955361412706566	0.999800740360261	497	NA
G2E3	Other	0.00123105760047572	10	0.331665693423644	0.955706796082113	0.999800740360261	NA	533
HNF1A	Other	-0.10780755189283	10	0.333393474002698	0.95676065817673	0.999800740360261	498	NA
EID2	Other	0.00866587286977114	10	0.333596003851257	0.956884641952567	0.999800740360261	NA	534
ANP32A	Other	-0.0766512429565861	10	0.335213153400565	0.957832232239324	0.999800740360261	499	NA
TDRD7	Other	-0.00367329227902766	10	0.335917908075266	0.958266175454755	0.999800740360261	500	NA
MBD2	Other	0.0446027938888441	10	0.336305474532056	0.958487575054464	0.999800740360261	NA	535
TRIM27	Other	0.147744417851447	10	0.336887134597388	0.958903806301918	0.999800740360261	NA	536
DAPK3	Other	-0.047727476127537	10	0.337963040452107	0.959603429037	0.999800740360261	501	NA
HDAC4	Other	0.0820973179129486	10	0.338051568284677	0.959683132892896	0.999800740360261	NA	537
GTF3C4	Essential	-0.0114832839375169	10	0.338440041657969	0.959895676508617	0.999800740360261	502	NA
MET	Other	0.0897310072476934	10	0.33999557094853	0.960843266795374	0.999800740360261	NA	538
SENP1	Other	0.05264651461439	10	0.341737191305237	0.961905984873979	0.999800740360261	NA	539
RAI1	Other	-0.065172203742544	10	0.341943639786209	0.962083104553747	0.999800740360261	503	NA
PRDM4	Other	0.0667384327203132	10	0.342919186830035	0.962703023432934	0.999800740360261	NA	540
ESR1	Other	-0.0130216570033282	10	0.343458342433055	0.963066118776457	0.999800740360261	504	NA
ING5	Other	0.0648734279467993	10	0.344091165337426	0.963438070103969	0.999800740360261	NA	541
ATAD2	Other	0.0172276800255064	10	0.344873281652339	0.963889725287377	0.999800740360261	NA	542
SAP25	Other	0.108065519353415	10	0.345828622709594	0.964491932198587	0.999800740360261	NA	543
AKT1	Other	0.0269867862074652	10	0.349972399900272	0.966865335907473	0.999800740360261	NA	544
ALDH6A1	Other	0.0874915626931995	10	0.351940593757146	0.968078605713881	0.999800740360261	NA	545
TRIM66	Other	-0.0904510914096961	10	0.35509764150067	0.969734674719708	0.999800740360261	505	NA
JMJD1C	Other	0.0129492488251431	10	0.356086200392982	0.970195185887104	0.999800740360261	NA	546
TDRD9	Other	0.0694353496735864	10	0.356481885959341	0.970363449582883	0.999800740360261	NA	547
EYA1	Other	0.112949692095335	10	0.35727370445116	0.970823960750279	0.999800740360261	NA	548
ACTR5	Other	-0.0626520727351052	10	0.357669836720891	0.971063072317965	0.999800740360261	506	NA
AFF3	Other	-0.0110068702418671	10	0.357867958468088	0.971151632157849	0.999800740360261	507	NA
MYCN	Other	0.0365572718109385	10	0.359652715159794	0.972037230556687	0.999800740360261	NA	549
ATM	Other	0.0623347106246947	10	0.360645531303808	0.972604013531944	0.999800740360261	NA	550
GADD45G	Other	0.0191511461489342	10	0.361042913148387	0.972763421243734	0.999800740360261	NA	551
KAT6B	Other	0.0260796917305397	10	0.362037003326184	0.973268212331072	0.999800740360261	NA	552
METTL24	Other	0.0588539494180476	10	0.363430246790091	0.973967835066154	0.999800740360261	NA	553
PRKAB1	Other	0.0347740832182186	10	0.364625854566126	0.974552330009387	0.999800740360261	NA	554
FBXO10	Other	-0.0315960728125921	10	0.365024675813685	0.974711737721178	0.999800740360261	508	NA
PHF14	Other	-0.0379704081602692	10	0.365423639164021	0.974924281336899	0.999800740360261	509	NA
H2AFX	Other	0.0635451007555352	10	0.366421667036675	0.975517632264121	0.999800740360261	NA	555
MLH1	Other	0.0599171588656719	10	0.366821125102032	0.975765599815796	0.999800740360261	NA	556
