Gene	Category	DMSO	plasmid	PRMT5
DNMT3A	Other	-0.140044402608169	0.223064725159037	-0.158416515236839
DNMT3B	Other	-0.118643234678818	-0.0383556478863742	0.0574346411660481
DNMT3L	Other	0.315708295618242	0.264985104582862	0.226816733446162
DOT1L	Other	0.297372730172794	0.00870515229842954	0.352667475239322
DPF1	Other	0.184164254953858	0.315991406990929	0.232316189667327
DPF2	Other	-0.0726025211906353	-0.10531956033364	-0.0615160914636439
DPF3	Other	0.178857922558563	0.185641932494778	0.165049141313637
DPY30	Other	-0.160595105912874	0.0548230796350046	-0.254359641472056
DR1	Other	0.234158913129576	-0.115145866884708	0.231291424845582
DTL	Other	-0.739603993143521	0.0957040789728412	-0.761157877552326
DYNC1H1	Essential	-2.49767258457288	-0.48829192961767	-2.31501288029472
DYRK1A	Other	0.300717899388718	0.052462031199942	0.381662395159805
DYRK1B	Other	-0.00312400270171538	0.0510675650857117	0.0327492099500538
DYRK3	Other	0.666021473855013	0.332545925382079	0.674055685054822
DZIP3	Other	0.419853094866926	0.152500200915	0.39763101660222
E2F6	Other	0.316262978783519	0.20487633676238	0.194818018031282
EAF1	Other	0.604166815716429	0.238637098866039	0.437528715765037
EAF2	Other	0.249857063326744	0.073072198769019	0.298896019490915
EED	Other	-0.0124725025278637	0.212840408551117	0.0692553049997542
EEF2	Essential	-1.22901631141455	0.133108832222049	-0.944239116790072
EEF2KMT	Other	0.116307479729447	0.471777159186158	0.0583764748523943
EFTUD2	Essential	-1.89072649736474	-0.105225962354596	-1.77427794640638
EGFR	Other	0.540717245831405	0.200130339351834	0.475355457914413
EHMT1	Other	0.576558874711467	0.181410849145675	0.458223209120549
EHMT2	Other	0.349488762603716	0.0467842719318463	0.399712064569869
EID1	Other	0.157558217049503	0.15338548216088	0.179509989085492
EID2	Other	-0.0100917752333165	-0.0548584122402318	-0.0461925393704605
EID2B	Other	0.156630676384405	0.0924408107358141	0.160534476691362
EIF3A	Essential	-1.20854305538395	-0.166188970328022	-1.21398285933052
EIF3D	Essential	-0.0385241558418749	0.65669564708416	-0.0503521595304885
EIF3G	Essential	-1.22229357586465	0.307412597631759	-1.12727756361495
EIF3H	Other	0.679863493760808	0.600022854226426	0.479042288922367
EIF4A3	Essential	-2.00078245943087	0.463676625529765	-1.95701171226468
ELL	Other	-0.524072592353791	0.222783895970742	-0.621136163465826
ELL2	Other	-0.125245879324171	-0.118093739410104	-0.190469303253801
ELL3	Other	0.275217356313666	0.115872499993229	0.0625610257626628
ELP2	Other	0.252008539622597	-0.0258944251928798	0.258663470403387
ELP3	Other	0.64874366760106	0.601895914758783	0.860978172526137
ELP4	Other	0.282772604925756	0.264806771705661	0.417382924495411
ELP5	Other	-0.19068745021797	-0.0107772872462594	-0.0806398252252426
ELP6	Other	0.169722457773011	0.195969312706505	0.31659988544692
ENY2	Other	0.0734030200222285	0.125604964267025	0.046966876614523
EP300	Other	1.20871197546638	-0.0837919531445719	1.2022756516837
EP400	Other	0.00243461961182542	0.431374966918458	-0.0385253975591217
EPC1	Other	0.419179478232232	0.0822302240497268	0.417614209236038
EPC2	Other	-0.59103845077357	-0.186205124196223	-0.645768570094629
ERBB2	Other	0.395965085304223	0.206745361254365	0.230706854293794
ERBB3	Other	0.216482046154312	0.319097161827745	0.206057367697392
ERCC2	Other	-0.0931658813295496	0.198372491468318	-0.20639343762046
ERCC6	Other	0.14944836530444	-0.170316853016103	-0.0985940501376512
ERG	Other	0.20025104307145	-0.0336333953521035	0.0314992044784047
ESR1	Other	-0.0282009667166314	-0.0239503130360738	-0.036971970039402
ETNK1	Other	0.113038120768833	0.19781847146367	0.229949770847912
EYA1	Other	0.454514000614008	0.227808513796729	0.340758205892063
EYA2	Other	0.738649099319512	0.590049837585387	0.607340347875274
EYA3	Other	0.0907664471829335	-0.01991070891874	0.120569648340202
EYA4	Other	0.479432571681242	0.178852066533887	0.460131070744633
EZH1	Other	0.0646820872701101	-0.0364944739553394	-0.0361361270952307
EZH2	Other	0.582327520601217	0.23639391316667	0.46849684796795
FBXL19	Other	-0.139892563780962	-0.0678080637125657	-0.153816375112475
FBXL3	Other	0.294807191121507	0.00811480847751584	0.208058164696364
FBXL6	Other	0.145715573435944	0.0904295162679586	0.137930076481055
FBXL7	Other	0.270624955369961	0.122684275004083	0.216182456847548
FBXO10	Other	0.277267773629453	0.342007092672585	0.310411019859993
FBXO11	Other	0.413926689286047	0.238932880568701	0.439603135245137
FBXO2	Other	-0.175976092626662	-0.210979572969625	-0.253569165556802
FBXO21	Other	0.536590683784404	0.442379616687681	0.357496857219848
FBXO22	Other	-0.225860464254737	0.305076910018904	-0.162898989445968
FBXO25	Other	0.764407727300997	0.303286822528734	0.755162120417816
FBXO3	Other	0.125814549851755	-0.117690272367028	-0.0146221936858614
FBXO4	Other	0.598574699679444	0.40429235269262	0.613118509089591
FBXO6	Other	0.4241363610389	0.232202340625121	0.416013559777007
FBXO7	Other	0.12242403711337	0.0118798085769573	0.0531140600281533
FBXO9	Other	0.0282645355017064	-0.131601579729429	-0.0914387550083633
FBXW11	Other	-1.7889866184909	0.467499961388957	-1.46126587771287
FBXW7	Other	-0.24852274727175	-0.162708131436888	-0.273970694822909
FGFR1	Other	0.0715113979175348	0.312415411725919	0.205677669714061
FGFR2	Other	0.25161288112478	0.178032874132579	0.315360628657887
FGFR3	Other	-0.188060717592717	0.144816264797806	-0.0154638063949416
FLT3	Other	0.203922644116064	0.256006768387285	0.249316724244918
FMR1	Other	0.167474765161718	0.0609234146546889	0.192508452491317
FOXA1	Other	-0.051460990071824	0.123632416237217	-0.00303527225598701
FOXL2	Other	0.288852785998489	0.288228005133665	0.30843799041444
FRK	Other	0.318718530149337	0.113255402252487	0.400422727989881
FTO	Other	0.275705496715146	-0.0323660817515057	0.25025330769478
FTSJ3	Essential	-1.28319618690213	-0.346281021686061	-1.26394908043554
FUBP1	Other	0.0315575081297501	0.651924330177049	-0.0476144391839609
FXR1	Other	0.311651793835574	0.269661075192428	0.499173766589835
FXR2	Other	0.236019121159973	0.126406915435189	0.176037322150527
G2E3	Other	0.0840713253545301	0.120659517081243	0.121890574681718
GADD45A	Other	0.450569937607889	0.133175919020515	0.385618596071097
GADD45B	Other	0.389691966130806	0.203324947806029	0.353623119376473
GADD45G	Other	0.580196754410946	0.555484493757211	0.574635639906145
GATA1	Other	0.0481535508630818	-0.0301196850330378	0.0311668837158518
GATA2	Other	0.528749587328441	0.755509097917306	0.613959647595445
GATA3	Other	0.252923440408955	0.12126693704491	0.302988857735423
GATAD1	Other	-0.134430872233968	-0.0786469361276612	-0.228574627981975
GATAD2A	Other	-0.354950824805838	0.203034457408596	-0.435968265980592
GATAD2B	Other	-0.126348997819122	0.0168736799918265	-0.0841105582326402
GFI1	Other	0.336425173080098	0.237250769031851	0.294150367830225
GFI1B	Other	0.260060456205303	0.212249644061064	0.144778917604701
GLYR1	Other	0.224001570431794	0.00697153148501839	0.0404014975765535
GNAQ	Other	0.427309318974587	0.380444737092844	0.525573514090356
GNAS	Other	0.160455363226366	0.238720792409414	0.108038156639452
GSE1	Other	0.339220303080694	0.298665957226022	0.0962017087009546
GSG2	Other	-0.0919503720531675	0.128115993002823	0.00822977025763064
GTF2I	Other	0.200004671348735	0.255794260257038	0.126814056571385
GTF3C4	Essential	-0.390811966202307	-0.366440543082733	-0.37792382702025
H1F0	Other	-0.175196224561337	-0.296963483978847	-0.170057394328056
H1FNT	Other	-0.0346601189903297	-0.1755895860542	-0.0781130845010502
H1FOO	Nonessential	0.0409793863191227	0.100413745426355	0.0581481693734886
H1FX	Other	0.302482561271552	0.214242721496881	0.260497036178483
H2AFJ	Other	0.261993498727401	0.425574845338112	0.318124014405837
H2AFV	Other	0.321473109659356	0.112861053536391	0.381883786586152
H2AFX	Other	0.493237608347691	0.50561153496869	0.569156635724226
H2AFY	Other	0.227233618955587	0.15039154860358	0.213660843910558
H2AFY2	Other	0.0875393034578129	0.0224338044430298	0.130738030461513
H2AFZ	Other	0.160726056910738	0.152106749783152	0.280189613671703
H2BFM	Nonessential	0.232293465020513	0.0215202261000969	0.337224931960075
H2BFWT	Nonessential	0.338825116070144	0.0649626321723942	0.0561538652977513
H3F3A	Other	-0.401051250094937	0.42948552691971	-0.604293678528025
H3F3B	Other	-0.0685122625428669	0.217023379087865	-0.138544060073001
H3F3C	Other	0.441028518113174	0.514264677154828	0.430655683062887
HACE1	Other	0.970836129453179	0.461289836123154	0.895729333539709
HAT1	Other	0.523971269111918	0.333838664063474	0.415282654266183
HCFC1	Other	-0.32224428907272	0.455595703699663	-0.305833048997652
HCFC2	Other	0.234787401978954	0.20600388276599	0.175729010967059
HDAC1	Other	0.151524942952401	0.0614741456308808	0.00466974743391138
HDAC10	Other	0.34683881439794	0.288181346092561	0.150341933916958
HDAC11	Other	0.341229918110455	0.302155753816755	0.438767445207509
HDAC2	Other	0.755681777848808	0.119026255783536	0.695903716046247
HDAC3	Other	-0.668581771480936	-0.000904200588834708	-0.535750777008893
HDAC4	Other	0.134404660074186	0.202264619657623	0.284361937570572
HDAC5	Other	-0.152806815507985	-0.353563025159395	-0.239510908782248
HDAC6	Other	-0.200894239829526	-0.0861901771718886	-0.342371569813842
HDAC7	Other	0.327772324662406	0.27001551491097	0.34366554274554
HDAC8	Other	0.265722888778355	0.0228302194013378	0.294982822841077
HDAC9	Other	0.343937974102402	0.0155847652554472	0.266848306211895
HDGF	Other	0.21150915056028	0.0385732006288836	0.142405837272187
HDGFL1	Nonessential	0.138893533188117	0.130927481698568	0.0219714477808923
HDGFRP2	Other	-0.143583384243511	-0.133923344785552	-0.54750624984642
